9,8,3,160,170,18,6,11,"2,586","2,586",993,880,880,0,0,98,0,0.132352941,0.173913043,0.25,0.375586854,0.146551724,0.36,0.025,0.036666667,0.040217729,0.05835891,0.032036392,0.014521452,0.01461794,0,0,0.114888628
24,15,5,320,17,18,8,24,"7,241","7,596","5,584","6,600","6,400",12,5,100,3,0.352941176,0.326086957,0.416666667,0.751173709,0.014655172,0.36,0.033333333,0.08,0.112612753,0.171420834,0.180152278,0.108910891,0.106312292,0.051724138,0.238095238,0.117233294
17,12,3,330,50,4,150,20,"7,654","6,604",684,"6,000","4,000",1,2,40,3,0.25,0.260869565,0.25,0.774647887,0.043103448,0.08,0.625,0.066666667,0.11903577,0.149034122,0.022067364,0.099009901,0.066445183,0.004310345,0.095238095,0.046893318
29,13,2,200,220,36,25,16,"6,820","6,861","2,740","17,000","16,000",0,10,10,3,0.426470588,0.282608696,0.166666667,0.469483568,0.189655172,0.72,0.104166667,0.053333333,0.106065319,0.154833905,0.088398503,0.280528053,0.265780731,0,0.476190476,0.011723329
27,12,2,60,30,11,0,27,"18,806","18,806","6,140","42,103","40,940",0,5,100,3,0.397058824,0.260869565,0.166666667,0.14084507,0.025862069,0.22,0,0.09,0.292472784,0.424399711,0.198090076,0.694768977,0.680066445,0,0.238095238,0.117233294
17,6,3,105,24,24,6,17,"7,704","7,704","2,576","6,176","2,285",3,3,72,0,0.25,0.130434783,0.25,0.246478873,0.020689655,0.48,0.025,0.056666667,0.119813375,0.173858097,0.083107498,0.101914191,0.037956811,0.012931034,0.142857143,0.084407972
14,12,3,45,179,6,12,15,"3,866","3,483","7,093","4,800","4,400",15,0,98,3,0.205882353,0.260869565,0.25,0.105633803,0.154310345,0.12,0.05,0.05,0.060124417,0.078601733,0.228835979,0.079207921,0.073089701,0.064655172,0,0.114888628
22,22,3,65,30,12,30,35,"24,083","24,083","5,309","5,160","5,160",10,4,10,3,0.323529412,0.47826087,0.25,0.15258216,0.025862069,0.24,0.125,0.116666667,0.374541213,0.543487092,0.171280165,0.085148515,0.085714286,0.043103448,0.19047619,0.011723329
12,8,7,55,12,12,7,12,"4,581","4,581","7,164","20,385","20,184",7,5,16,2,0.176470588,0.173913043,0.583333333,0.129107981,0.010344828,0.24,0.029166667,0.04,0.071244168,0.103380574,0.231126597,0.336386139,0.335282392,0.030172414,0.238095238,0.018757327
9,5,5,95,74,23,10,16,"8,137","8,137","4,270","9,139","8,562",3,5,27,3,0.132352941,0.108695652,0.416666667,0.223004695,0.063793103,0.46,0.041666667,0.053333333,0.126547434,0.183629717,0.137759711,0.150808581,0.142225914,0.012931034,0.238095238,0.031652989
13,11,4,142,108,10,12,12,"6,961","6,961","9,917","2,050","2,050",1,0,14,1,0.191176471,0.239130435,0.333333333,0.333333333,0.093103448,0.2,0.05,0.04,0.108258165,0.15709063,0.319944509,0.033828383,0.034053156,0.004310345,0,0.016412661
20,18,4,155,66,16,11,31,"6,793","6,763","3,581","8,600","8,600",6,1,6,3,0.294117647,0.391304348,0.333333333,0.363849765,0.056896552,0.32,0.045833333,0.103333333,0.105645412,0.152622314,0.115531036,0.141914191,0.142857143,0.025862069,0.047619048,0.007033998
5,5,2,87,24,18,9,10,"1,711","1,711","1,550","10,000","7,500",0,5,19,3,0.073529412,0.108695652,0.166666667,0.204225352,0.020689655,0.36,0.0375,0.033333333,0.026609642,0.038612565,0.050006452,0.165016502,0.124584718,0,0.238095238,0.022274326
7,7,5,95,31,20,12,0,"2,879","2,879","3,190","8,500","6,100",0,5,6,3,0.102941176,0.152173913,0.416666667,0.223004695,0.026724138,0.4,0.05,0,0.044774495,0.064971114,0.102916505,0.140264026,0.101328904,0,0.238095238,0.007033998
8,7,4,112,360,15,3,30,"2,717","2,717",850,"8,000","4,000",7,5,6,0,0.117647059,0.152173913,0.333333333,0.262910798,0.310344828,0.3,0.0125,0.1,0.042255054,0.061315219,0.027422893,0.132013201,0.066445183,0.030172414,0.238095238,0.007033998
10,5,4,51,56,12,11,0,"2,431","2,431",664,"7,000",0,110,1,288,3,0.147058824,0.108695652,0.333333333,0.11971831,0.048275862,0.24,0.045833333,0,0.037807154,0.054860986,0.021422119,0.115511551,0,0.474137931,0.047619048,0.337631887
36,14,12,29,32,29,12,14,"7,563","7,561","19,885","18,420","13,500",10,5,0,3,0.529411765,0.304347826,1,0.068075117,0.027586207,0.58,0.05,0.046666667,0.117620529,0.17063098,0.641534392,0.303960396,0.224252492,0.043103448,0.238095238,0
31,24,5,400,156,7,4,24,"10,305","10,305","6,873","4,169","4,169",4,3,0,3,0.455882353,0.52173913,0.416666667,0.938967136,0.134482759,0.14,0.016666667,0.08,0.160264386,0.232555515,0.221738289,0.06879538,0.069252492,0.017241379,0.142857143,0
21,12,2,93,116,30,17,26,"6,019","6,019",0,"13,020",0,14,21,513,3,0.308823529,0.260869565,0.166666667,0.218309859,0.1,0.6,0.070833333,0.086666667,0.093608087,0.13583228,0,0.214851485,0,0.060344828,1,0.6014068
9,4,1,70,12,8,20,6,"1,429","1,429","20,800","16,500","1,500",6,4,10,2,0.132352941,0.086956522,0.083333333,0.164319249,0.010344828,0.16,0.083333333,0.02,0.02222395,0.032248601,0.67105433,0.272277228,0.024916944,0.025862069,0.19047619,0.011723329
8,4,2,81,310,5,15,8,"1,852","1,852",205,"14,500","14,500",20,0,19,0,0.117647059,0.086956522,0.166666667,0.190140845,0.267241379,0.1,0.0625,0.026666667,0.028802488,0.041794548,0.006613757,0.239273927,0.240863787,0.086206897,0,0.022274326
19,17,1,100,276,6,18,19,"3,685","3,685","1,940","3,500","2,300",8,5,3,3,0.279411765,0.369565217,0.083333333,0.234741784,0.237931034,0.12,0.075,0.063333333,0.057309487,0.083160318,0.062588721,0.057755776,0.03820598,0.034482759,0.238095238,0.003516999
